Item ID,Back End Item,UI Facing Item Name,Input Type,Calc,Data Type,Display Format,Sample (from Steve Sheet), Excel Calc Sample ,Required/ Optional,Validation Rules,Display Order,Section,Notes
A,Monthly_Spend,Monthly Spend,User Input,,Currency,"$#,##0.00","$8,630.00"," $8,630.00 ",Required,Must be > 0,1,Inputs,Customer's current monthly electricity spend
B,Tune_Savings,Tune Energy Savings,User Input,,Percentage,#0%,10%,10%,Required,Must be 0-100%,2,Inputs,User input amount with every quote.
C,Monthly_Spend_Tune,Tune Energy Spend,Calc,A*(1-B),Currency,"$#,##0.00","$7,767.00"," $7,767.00 ",Required,Auto-calculated,3,Inputs,Monthly spend after savings applied
D,Gross_Savings_Per_Mo,Gross Savings / Mo,Calc,A-C,Currency,"$#,##0.00",$863.00, $863.00 ,Required,Auto-calculated,4,Inputs,Gross monthly savings before lease payment
E,Equipment_Cost,Equipment Cost,User Input,,Currency,"$#,##0.00","$17,000.00"," $17,000.00 ",Required,Must be > 0,5,Inputs,Total cost of equipment to be financed
F,T36_Mo_Rental_Per_Mo,36 Month - Term Monthly Rental,Calc,E*RateFactor,Currency,"$#,##0.00",$556.49, $556.49 ,Required,Auto-calculated,6,36-Month,Rate factor lookup in rate table based on Equipment Cost
G,T36_Net_Savings_Per_Mo,36 Month - Net Savings / Month,Calc,D-F,Currency,"$#,##0.00",$306.51, $306.51 ,Required,Auto-calculated,7,36-Month,Net monthly savings (gross savings minus lease)
H,T36_Net_Savings_Per_Year,36 Month - Net Savings / Year,Calc,G*12,Currency,"$#,##0.00","$3,678.11"," $3,678.10 ",Optional,Auto-calculated,8,36-Month,Annual net savings during lease term
I,T36_Net_Savings_3YR,36 Month - Net Savings / 3 Years,Calc,H*3,Currency,"$#,##0.00","$11,034.32"," $11,034.30 ",Required,Auto-calculated,9,36-Month,Total net savings over 36-month lease term
J,T36_Net_Savings_Pct_3YR,36 Month - Net Savings % / 3 Years,Calc,I/(A*36),Percentage,#0.0%,3.6%,3.55%,Optional,Auto-calculated,10,36-Month,Net savings as % of total energy spend over 3 years
K,T36_Net_Savings_Mo37,36 Month - Net Savings / Month - Month 37,Calc,D,Currency,"$#,##0.00",$863.00, $863.00 ,Required,Auto-calculated,11,36-Month,Monthly savings after lease ends (equals gross savings)
L,T36_Net_Savings_Mo37_60,36 Month - Net Savings / Months 37-60,Calc,K*24,Currency,"$#,##0.00","$20,712.00"," $20,712.00 ",Required,Auto-calculated,12,36-Month,Cumulative savings for months 37-60 (post-lease)
M,T36_Net_Savings_Pct_Mo37_60,36 Month - Net Savings % / Months 37-60,Calc,L/(A*24),Percentage,#0.0%,10.0%,10.0%,Optional,Auto-calculated,13,36-Month,Savings as % of energy spend for months 37-60
