PSI QUOTE TOOL CALCULATOR - COMPLETE,,,,,,
Version 1.1 | December 2025 | All Formulas A-AR,,,,,,
,,,,,,
INSTRUCTIONS:,,,,,,
1. Enter BLUE cells only (inputs),,,,,,
2. BLACK cells contain formulas - do not edit,,,,,,
3. Enter location data starting at row 25,,,,,,
,,,,,,
,,,,,,
QUOTE HEADER INFORMATION,,,,,,
Quote Date:,01/15/2026,,,,,
Brand (Tune/Exact):,Tune,,,,,
Rep Name:,,,,,,
Rep Phone:,,,,,,
Rep Email:,,,,,,
Customer Company:,,,,,,
Customer Contact:,,,,,,
Customer Phone:,,,,,,
Customer Email:,,,,,,
,,,,,,
,,,,,,
LOCATION DATA ENTRY (Enter up to 20 locations),,,,,,
#,Location/Site Name,Utility Provider,Monthly Spend,Equipment Cost,Savings %,# Panels
1,Downtown HQ,SCE,"$8,630","$17,000",10%,13
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
,,,,,,
,,,,,,
PORTFOLIO TOTALS,,,,,,
Total Monthly Spend:,"$8,630",,,,,
Total Equipment Cost:,"$17,000",,,,,
Total Panels/Meters:,13,,,,,
Avg Savings %:,10.0%,,,,,
# of Locations:,1,,,,,
,,,,,,
TIER DETERMINATION,,,,,,
Equipment Tier:,Tier 1,,,,,
Available Terms:,36-Month & 60-Month,,,,,
36-Mo Rate Factor:,0.0327348,,,,,
60-Mo Rate Factor:,0.0211993,,,,,
72-Mo Rate Factor:,N/A,,,,,
,,,,,,
BASE CALCULATIONS (Items A-E),,,,,,
Item,Description,Value,Formula,,,
A,Monthly Spend,"$8,630.00",Sum of all locations,,,
B,Savings Percentage,10.0%,Average of all locations,,,
C,Monthly Spend After Savings,"$7,767.00",A × (1-B),,,
D,Gross Savings / Month,$863.00,A - C,,,
E,Equipment Cost,"$17,000.00",Sum of all locations,,,
,,,,,,
36-MONTH TERM CALCULATIONS (Items F-T),,,,,,
Item,Description,Value,Formula,,,
F,Monthly Rental Payment,$556.49,E × RateFactor,,,
G,Net Savings / Month,$306.51,D - F,,,
H,Net Savings / Year,"$3,678.10",G × 12,,,
I,Net Savings / 3 Years,"$11,034.30",H × 3,,,
J,Net Savings % / 3 Years,3.6%,I / (A × 36),,,
K,Net Savings/Mo (Post-Lease Mo 37+),$863.00,D (after lease ends),,,
L,Net Savings Months 37-60,"$20,712.00",K × 24,,,
M,Net Savings % Months 37-60,10.0%,L / (A × 24),,,
N,Net Savings / 5 Years,"$31,746.30",I + L,,,
O,Net Savings % / 5 Years,6.1%,N / (A × 60),,,
P,Net Savings / 10 Years,"$83,526.30",I + (K × 84),,,
Q,Net Savings % / 10 Years,8.1%,P / (A × 120),,,
R,ROI Month 1,55.1%,G / F,,,
S,ROI at Month 60 (5-Year),158.5%,N / (F × 36),,,
T,ROI at Month 120 (10-Year),416.9%,P / (F × 36),,,
,,,,,,
60-MONTH TERM CALCULATIONS (Items U-AF),,,,,,
Item,Description,Value,Formula,,,
U,Monthly Rental Payment,$360.39,E × RateFactor,,,
V,Net Savings / Month,$502.61,D - U,,,
W,Net Savings / Year,"$6,031.34",V × 12,,,
X,Net Savings / 5 Years,"$30,156.71",W × 5,,,
Y,Net Savings % / 5 Years,5.8%,X / (A × 60),,,
Z,Net Savings/Mo (Post-Lease Mo 61+),$863.00,D (after lease ends),,,
AA,Net Savings Months 61-120,"$51,780.00",Z × 60,,,
AB,Net Savings / 10 Years,"$81,936.71",X + AA,,,
AC,Net Savings % / 10 Years,7.9%,AB / (A × 120),,,
AD,ROI Month 1,139.5%,V / U,,,
AE,ROI at Month 60 (5-Year),139.5%,X / (U × 60),,,
AF,ROI at Month 120 (10-Year),378.9%,AB / (U × 60),,,
,,,,,,
72-MONTH TERM CALCULATIONS (Items AG-AR),,,,,,
Item,Description,Value,Formula,,,
AG,Monthly Rental Payment,N/A,E × RateFactor,,,
AH,Net Savings / Month,N/A,D - AG,,,
AI,Net Savings / Year,N/A,AH × 12,,,
AJ,Net Savings / 6 Years,N/A,AI × 6,,,
AK,Net Savings % / 6 Years,N/A,AJ / (A × 72),,,
AL,Net Savings/Mo (Post-Lease Mo 73+),N/A,D (after lease ends),,,
AM,Net Savings Months 73-120,N/A,AL × 48,,,
AN,Net Savings / 10 Years,N/A,AJ + AM,,,
AO,Net Savings % / 10 Years,N/A,AN / (A × 120),,,
AP,ROI Month 1,N/A,AH / AG,,,
AQ,ROI at Month 60 (5-Year),N/A,(AI × 5) / (AG × 60),,,
AR,ROI at Month 120 (10-Year),N/A,AN / (AG × 72),,,
,,,,,,
⚠ NEGATIVE CASH FLOW WARNING:,,,,,,
